domain,severity,reject_media,reject_reports,public_comment,obfuscate
spinster.xyz,suspend,False,False,Transphobia,False
strelizia.net,suspend,False,False,Hate speech,False
supernets.social,suspend,False,False,Hate speech,False
switter.at,suspend,False,False,Preparing for announced shutdown,False
t.l3r.me,suspend,False,False,Third-party bots,False
tastingtraffic.net,suspend,False,False,Spam,False
the.usualsuspects.lol,suspend,False,False,Hate speech,False
theblab.org,suspend,False,False,Hate speech,False
too****.*tf,suspend,False,False,Inappropriate content,False
too****.*un,suspend,False,False,Inappropriate content,False
toot.love,silence,False,False,Harassment,False
trab****.com,suspend,False,False,Hate speech,False
truthsocialpro.org,suspend,False,False,,False
tum**.**wn,suspend,False,False,Inappropriate content,False
tweet.pasture.moe,suspend,False,False,Third-party bots,False
tweetbridge.kogasa.de,suspend,False,False,Third-party bots,False
tweets.icu,suspend,False,False,Third-party bots,False
twitiverse.com,suspend,False,False,Third-party bots,False
twitter-bridge.cryobyte.net,suspend,False,False,Third-party bots,False
twitter.1d4.us,suspend,False,False,Third-party bots,False
twitter.activitypub.actor,suspend,False,False,Third-party bots,False
twitter.cryobyte.net,suspend,False,False,Third-party bots,False
twitter.doesnotexist.club,suspend,False,False,Third-party bots,False
twitter.grants.cafe,suspend,False,False,Third-party bots,False
twitter.piriklub.eu,suspend,False,False,Third-party bots,False
twitterbridge.jannis.rocks,suspend,False,False,Third-party bots,False
twtr.carnivore.social,suspend,False,False,Third-party bots,False
twtr.ingeechat.party,suspend,False,False,Third-party bots,False
twtr.plus,suspend,False,False,,False
twtr.vrij.social,suspend,False,False,Third-party bots,False
twtr.wappie.land,suspend,False,False,Third-party bots,False
twtrbridge.de,suspend,False,False,Third-party bots,False
twttr.yukineko.me,suspend,False,False,Third-party bots,False
urchan.org,suspend,False,False,Hate speech,False
varis*******.net,suspend,False,False,Inappropriate content,False
whit******.dog,suspend,False,False,Inappropriate content,False
wolfgirl.bar,suspend,False,False,Hate speech,False
workers.dev,suspend,False,False,Botnet,False
x.good.news,suspend,False,False,Third-party bots,False
xxxtumblr.org,silence,False,False,Pornographic content not marked as sensitive,False
yes***.*et,suspend,False,False,Inappropriate content,False
yggdrasil.social,suspend,False,False,Hate speech,False
you**.**ve,suspend,False,False,Inappropriate content,False
youj*.*****ver,suspend,False,False,Inappropriate content,False
zet***.**ub,suspend,False,False,Inappropriate content ,False
zztails.gay,suspend,False,False,Hate speech,False
