domain,count,percent
esmailelbob.xyz,4,66.66666666666666
est.social,1,16.666666666666664
etiketi.de,2,33.33333333333333
eveningzoo.club,6,100.0
evilcyberhacker.net,1,16.666666666666664
exited.eu,2,33.33333333333333
exploding-heads.com,3,50.0
explosion.party,2,33.33333333333333
expression.social,3,50.0
f.ckpg.space,2,33.33333333333333
f.haeder.net,3,50.0
f.thesolarrepublic.org,1,16.666666666666664
faggot.zone,3,50.0
fai.st,1,16.666666666666664
fandom.community,1,16.666666666666664
fans.sonichu.com,2,33.33333333333333
fapsi.be,2,33.33333333333333
fbievan.live,1,16.666666666666664
fbxl.net,5,83.33333333333334
fed.calp.de,1,16.666666666666664
fed.celp.de,2,33.33333333333333
feddit.online,1,16.666666666666664
federate.hopto.org,1,16.666666666666664
federate.social,2,33.33333333333333
federated.fun,6,100.0
federated.media,1,16.666666666666664
federatedfandom.net,1,16.666666666666664
fedi.absturztau.be,2,33.33333333333333
fedi.agency,1,16.666666666666664
fedi.app,3,50.0
fedi.cc,1,16.666666666666664
fedi.gealdor.space,1,16.666666666666664
fedi.intkos.link,1,16.666666666666664
fedi.live,1,16.666666666666664
fedi.lucasvl.nl,1,16.666666666666664
fedi.pawlicker.com,2,33.33333333333333
fedi.plus.st,1,16.666666666666664
fedi.site,2,33.33333333333333
fedi.syspxl.xyz,1,16.666666666666664
fedi.tyil.nl,1,16.666666666666664
fedi.valkyrie.world,1,16.666666666666664
fedi.vern.cc,1,16.666666666666664
fedi.z0ne.moe,1,16.666666666666664
fedibird.com,1,16.666666666666664
fedicafe.com,1,16.666666666666664
fedicy.allowed.org,2,33.33333333333333
fedigram.net,1,16.666666666666664
fedihams.net,1,16.666666666666664
fedimon.uk,1,16.666666666666664
fedispot.com,1,16.666666666666664
fediverse-lite.com,3,50.0
fediverse.lol,1,16.666666666666664
fediverse.me,1,16.666666666666664
fediverse.pl,3,50.0
fediversesearch.com,1,16.666666666666664
fedposters.club,4,66.66666666666666
fedsearch.io,1,16.666666666666664
feline.rodeo,2,33.33333333333333
femboy.tokyo,1,16.666666666666664
femboys.love,3,50.0
