#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
bird.makeup.hwarf.com,suspend,false,false,birdsitelive/bot,false
bridge.booots.tech,suspend,false,false,birdsitelive/bot,false
mast.socialspill.com,suspend,false,false,birdsitelive/bot,false
birdsitelive.codingneko.com,suspend,false,false,birdsitelive/bot,false
bird.xtra.nu,suspend,false,false,birdsitelive/bot,false
white.fly.dev,suspend,false,false,birdsitelive/bot,false
birdsite.personally.tech,suspend,false,false,birdsitelive/bot,false
cp2.jaxbeach.social,suspend,false,false,birdsitelive/bot,false
twitter.felixmueller.social,suspend,false,false,birdsitelive/bot,false
birdsite.dfu.co,suspend,false,false,birdsitelive/bot,false
birdsite.ingwie.me,suspend,false,false,birdsitelive/bot,false
ll.birdsite.live,suspend,false,false,birdsitelive/bot,false
birdsitelive.loca.lt,suspend,false,false,birdsitelive/bot,false
birdsite.stop.pe,suspend,false,false,birdsitelive/bot,false
birdsite.jemverse.xyz,suspend,false,false,birdsitelive/bot,false
woof.foxxo.gay,suspend,false,false,birdsitelive/bot,false
vtweet.live,suspend,false,false,birdsitelive/bot,false
twtrbridge.de,suspend,false,false,birdsitelive/bot,false
twtr.ingeechat.party,suspend,false,false,birdsitelive/bot,false
twtr.carnivore.social,suspend,false,false,birdsitelive/bot,false
twtr.astra.lol,suspend,false,false,birdsitelive/bot,false
twt.pufferzone.racing,suspend,false,false,birdsitelive/bot,false
twittergateway.10247.berlin,suspend,false,false,birdsitelive/bot,false
twitterfeed.furrypaws.cc,suspend,false,false,birdsitelive/bot,false
twitterbridge.mastodon.maki0419.com,suspend,false,false,birdsitelive/bot,false
twitter.ukd.social,suspend,false,false,birdsitelive/bot,false
twitter.savvas.cloud,suspend,false,false,birdsitelive/bot,false
twitter.moxr.de,suspend,false,false,birdsitelive/bot,false
twitter.kfem.cat,suspend,false,false,birdsitelive/bot,false
twitter.dev.holtwick.de,suspend,false,false,birdsitelive/bot,false
twitter.cryobyte.net,suspend,false,false,birdsitelive/bot,false
twitter.829.hu,suspend,false,false,birdsitelive/bot,false
twitbridge.click,suspend,false,false,birdsitelive/bot,false
tweets.puddle.town,suspend,false,false,birdsitelive/bot,false
tweetrans.ff15.eu,suspend,false,false,birdsitelive/bot,false
birdsitelive.moistgarbage.info,suspend,false,false,birdsitelive/bot,false
birdsite.spectreos.de,suspend,false,false,birdsitelive/bot,false
birdsite.gnyo.org,suspend,false,false,birdsitelive/bot,false
birdsite.darkesttimeline.social,suspend,false,false,birdsitelive/bot,false
birdsite.skye.cx,suspend,false,false,birdsitelive/bot,false
