#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
sexy****.xyz,suspend,false,false,inappropriate content,false
shitpisscum.mooo.com,suspend,false,false,hate speech,false
shitpost.cloud,suspend,false,false,hate speech,false
shitposte.rs,suspend,false,false,hate speech,false
shitposter.club,suspend,false,false,hate speech,false
shitposter.world,silence,false,false,harassment,false
shitposting.army,suspend,false,false,hate speech,false
sho**.***se,suspend,false,false,inappropriate content,false
shortstackran.ch,suspend,false,false,hate speech,false
shortstacksran.ch,suspend,false,false,hate speech,false
shot*****.xyz,suspend,false,false,inappropriate content,false
shrimpcam.pw,suspend,false,false,third-party bots,false
shrimpposter.club,suspend,false,false,hate speech,false
sinblr.com,suspend,false,false,automated porn spam,false
skinheads.social,suspend,false,false,hate speech,false
skipp*******.com,suspend,false,false,inappropriate content,false
sleepy.cafe,suspend,false,false,hate speech,false
sneed.social,suspend,false,false,hate speech,false
social.********y.net,suspend,false,false,inappropriate content,false
social.freysa.ai,suspend,false,false,spam,false
social.lovingexpressions.net,suspend,false,false,hate speech,false
social.onlinesession.app,silence,false,false,unmanaged spam,false
social.quodverum.com,silence,false,false,misinformation and conspiracy theories,false
solagg.com,suspend,false,false,spam,false
sovran.social,suspend,false,false,third-party bots,false
spinster.xyz,suspend,false,false,transphobia,false
strelizia.net,suspend,false,false,hate speech,false
supernets.social,suspend,false,false,hate speech,false
switter.at,suspend,false,false,preparing for announced shutdown,false
t.l3r.me,suspend,false,false,third-party bots,false
tastingtraffic.net,suspend,false,false,spam,false
the.usualsuspects.lol,suspend,false,false,hate speech,false
theblab.org,suspend,false,false,hate speech,false
tickler.cc,silence,false,false,unmanaged spam,false
too****.*tf,suspend,false,false,inappropriate content,false
too****.*un,suspend,false,false,inappropriate content,false
toot.love,silence,false,false,harassment,false
trab****.com,suspend,false,false,hate speech,false
truthsocialpro.org,suspend,false,false,,false
tum**.**wn,suspend,false,false,inappropriate content,false
tweet.pasture.moe,suspend,false,false,third-party bots,false
tweetbridge.kogasa.de,suspend,false,false,third-party bots,false
tweets.icu,suspend,false,false,third-party bots,false
twitiverse.com,suspend,false,false,third-party bots,false
twitter-bridge.cryobyte.net,suspend,false,false,third-party bots,false
twitter.1d4.us,suspend,false,false,third-party bots,false
twitter.activitypub.actor,suspend,false,false,third-party bots,false
twitter.cryobyte.net,suspend,false,false,third-party bots,false
twitter.doesnotexist.club,suspend,false,false,third-party bots,false
twitter.grants.cafe,suspend,false,false,third-party bots,false
twitter.piriklub.eu,suspend,false,false,third-party bots,false
twitterbridge.jannis.rocks,suspend,false,false,third-party bots,false
twtr.carnivore.social,suspend,false,false,third-party bots,false
twtr.ingeechat.party,suspend,false,false,third-party bots,false
twtr.plus,suspend,false,false,,false
twtr.vrij.social,suspend,false,false,third-party bots,false
twtr.wappie.land,suspend,false,false,third-party bots,false
